"Zap"	"Gloss"	"Trans"	"Lang"
"447"	"Zye:einy-ru’ liebr b-zi:i:i’ Jwaany cah nih b-to:o’ Liieb"	"MUCH.sol/abs-ER book perf-buy Juan than rel perf-sell Felipe"	"‘Juan bought more books than Felipe sold’"	""
"448"	"Zye:einy-ru’ liebr b-zi:i:i’"	"Jwaany cah Gyeeihlly."	"‘Juan bought more books than Mike’"	""
"449"	"Zyuu:a’ll-ru’ Jwaany {cah / loh} Gyeeihlly."	"tall-ER Juan than / face Mike"	"‘Juan is taller than Mike’"	""
"450"	"Juan tiene miedo de serpientes."	"Juan have.3sg fear of snakes"	"‘Juan is afraid of snakes’"	""
"451"	"Juan estd enamorad-o de Lucfa"	"Juan be.3sg in.love-m of Lucia"	"‘Juan is in live with Lucia’"	""
"452"	"B-cwa:a:a’ Jwaany pelo’t loh Rrodriiegw."	"perf-throw Juan ball face Rodrigo"	"‘Juan threw the ball to Rodrigo’"	""
"455"	"Zyuu:a’ll-ru’ Jwaany loh Gveeihllv."	"tall-ER Juan face Mike"	"‘Juan is taller than Mike’"	""
"458"	"Rodolfo pasa menos tiempo con su mamd que Rodolfo spend.3sg ER.NEG.MUCH time"	"with 3poss mom that Trinidad con su-s hermanos. Trinidad with 3poss-pl brothers"	"‘Rodolfo spends less time with his mom than Trinidad (does) with his brothers’"	""
"459"	"Zyuu:a’ll Gyeeihlly."	"tall Mike"	"‘Mike is tali’"	""
"460"	"(IV-170) Cata’lly nsinni’cy Jwaany"	"? how intelligent Juan"	"‘How intelligent is Juan ?’"	""
"461"	"Zyuu:a’ll-ta’ Wsee."	"tall-too Jose"	"‘Jose is too tall’"	""
"462"	"Zye:einy-ta’ liebr b-zi:i:i’ Wsee."	"MUCH.sol/abs-too book perf-buy Jose"	"‘Josd bought too many books’"	""
"463"	"Zi:i’lly-ta’ nnyi’ihs gwe:e’eh Wsee."	"MUCKliq/gas-too water perf.drink Jos6"	"‘Josd drank too much water’"	""
