"Zap"	"Gloss"	"Trans"	"Lang"
"450"	"Chih=nìi' w-nnàa mìi'iny staal zh:àa'at. then=NÌI' PERF-see child many toad 'Then the child saw lots of toads' The same pattern exemplified above for TMZ"	"also seems to exist to some extent in SLQZ, as I will discuss below. However, for the verb ràann 'see', and other verbs of"	"'seeing'"	"TMZ"
"451"	"B-ìe'ny=a' gaan to'ohby rràady loh rrie'f."	"PERF-do=1SG winning one radio at raffle"	"'I won a radio at / in / through / from the raffle'"	"TMZ"
"452"	"B-ìe'ny=a' gaan"	"to'ohby rràady."	"'I won a radio'"	"TMZ"
"453"	"B-x:èe'l=a' gyììa' loh x:-na'an=a'."	"PERF-send=1GS flower to POSS-mother=1SG"	"'I sent flowers to my mother'"	"TMZ"
"454"	"B-x:èe'l=a'"	"gyììa'."	"'I sent flowers'"	"TMZ"
"455"	"Li'eb b-ìe'ny co'br x:-mêëëlly=nìi' loh Jwaany."	"Felipe PERF-do collection POSS-money=3ANAP from John"	"'Felipe collected his money from John'"	"TMZ"
"458"	"B-zhùu'azh=a' gueht loh bèe'cw."	"PERF-tear=1SG tortilla for dog"	"'I tore up the tortilla for (and in the presence of) the dog'"	"SLQZ"
"459"	"B-ìi'lly=a' loh x:-na'an=a'"	"PERF-sing=1SG for POSS-mother=1SG"	"'I sang for (and in the presence of) my mother'"	"TMZ"
"460"	"Li'eb b-ìe'ny co'br x:-mêëëlly=nìi'"	"loh Jwaany. with rnààa"	"'b        asks for, requests,        rnààa'"	"TMZ"
"461"	"B-dèèi'dy-x:lià=a' ba'ih x:-na'an=a'."	"PERF-give-present=1SG rebozo POSS-mother=1SG"	"'I gave my mom a rebozo as a present'"	"TMZ"
"462"	"Guuny=a' to'ohby paste'l pahr x:-na'an=a'."	"IRR.does=1SG one cake for POSS-mother=1SG"	"'I will make a cake for my mother.'"	"TMZ"
"463"	"tiopa tomines r-oni=ja gona two tomines HAB-do=1SG offering"	"lao beecogoo Santa Jerusalem face altar Holy Jerusalem"	"'I make an offering of two reales to the altar of Holy Jerusalem'"	"CVZ"
"464"	"toby=ga tomines r-oni=ja gona one=each tomines HAB-do=1SG"	"offering lao too-tobi=ga beecoogo face one-one=each altar"	"'I make an offering of one real to each altar'"	"CVZ"
"465"	"B-x:èe'l=a' gyììa' loh x:-na'an=a'."	"PERF-send=1SG flower to POSS-mother=1SG"	"'I sent flowers to my mother'"	"TMZ"
"466"	"r-ooni=a goona laoo cofradia xtenij cooquij HAB-do=1SG offering face"	"confraternity of noblewoman xoonaxij del Rosario Lady of_the Rosary"	"'I make an offering to the confraternity of the noblewoman Lady of the Rosary'"	"CVZ"
"467"	"qui=ni gona topa pos lao yobi padre fray alvaro IRR.pay=3 offering two pesos face same Padre"	"Fray Alvaro de grijalva coquij Vicario xiteni quechi cetoba de Grijalva lord vicar of town Cetoba"	"'He will pay an offering of two pesos to the same Padre Fray Alvaro de Grijalva, Lord Vicar of the town of Cetoba'"	"CVZ"
"468"	"t-oni=a notificaçiõ lao HAB-do=1SG notification face ni n-aca baltasar hernãdez who"	"is Baltasar Hernandez' Loh also appears in the Colonial documents meaning"	"'from'"	"CVZ"
"469"	"Laaca tomines nijxij nij n-aaca galee pesos guij-nabaa tio same money this REL"	"NEU-be twenty pesos IRR-ask uncle xijteni=a laoo Pascual Peres of=1SG from Pascual Peres"	"'This same money, which is twenty pesos, my uncle will demand from Pascual Peres'"	"CVZ"
"471"	"tipela na-bani=ni lao bexoana=na dios"	"if NEU-alive=3 face lord=1PL God"	"'if he is alive through / by (the grace / will / power of) our Lord God'"	"CVZ"
"472"	"r-aca ticha lao naa escrivano HAB-be word face"	"1SG scribe lao quella-hue-togoticha xitene=ni face NMLZ-NMLZ-judge of=3"	"'The words are before me, the scribe through / by / via his order'"	"CVZ"
"473"	"B-ìe'ny=a' gaan to'ohby rràady loh rrie'f."	"PERF-do=1SG winning one radio in raffle"	"'We won a radio in / through / at the raffle'"	"TMZ"
"474"	"guij-quij=nij laoo guela-guichija IRR-pay=3 for NMLZ-sickness xijteni=a=laa"	"laoo guela-gooti xteni=a of=1SG=and for NMLZ-death of=1SG"	"'It (the money) will pay for [the expenses of ] my illness and for my death'"	"CVZ"
"475"	"Quiizh=ni pahr gahll.gui'ihihzh x:tèe'n=a'."	"IRR.pays=3PRX for sickness of=1SG"	"'It will pay for my sickness'"	"TMZ"
"476"	"n-aca=yaa Cristiano hua-roba=ya ni[sa] lao NEU-be=1SG Christian NMLZ-get_spilled_on=1SG water"	"face guela-gracia xtenij Bejuanaa=na Dios NMLZ-grace of high_lord=1PL God"	"'I am a Christian baptized with/through/in/by the grace of our God'"	"CVZ"
"477"	"B-ro'p.nnyi'ihs=a' cuhnn gra'isy x:tèe' Dyooz."	"PERF-get_baptized=1SG with grace of God"	"'I was baptized through/with/in/by the grace of God'"	"TMZ"
"478"	"Annachij Biernes 14 ex-chij beo de otubre today Friday 14 POSS-day"	"month of October loo yssa de 1740 face year of 1740"	"'Today, on the fourteenth day of the month of October, in the year of 1740'"	"CVZ"
"479"	"Gwa'=a' Bahc iihiz tyo'p mi'll gài'. PERF.go=1SG Tlacolula year"	"two thousand five 'I went to Tlacolula in 2005"	"' Non–locative loh was also used in religious formulas in CVZ, as in (159a). When I first asked my main consultant how he might say this in Zapotec, he didn'"	"TMZ"
"480"	"loo la Dios Bixoozee loo la Dios xijnij face name God father face"	"name God child loo la Dios espiritu santo face name God spirit holy"	"'In the name of God the Father, in the name of God the Son, in the name of God the Holy Spirit'"	"CVZ"
"481"	"loh lah Dyooz, loh lah at name God at name zhìi'iny Dyooz, loh lah"	"espiritu sa'ant CVZ loh could be translated using many English words: 'with', 'through', and"	"'in'"	"TVZ"
"483"	"G-uuny=a' te'est x:tèe'n=a' cohnn gahll.ryeihny-za'c."	"IRR-do=1SG will of=1SG with mind-good"	"'I will make my will with / in a sound mind'"	"TMZ"
"484"	"c. Gunnya' te'est"	"x:tèe'na' loh gahllryeihnyza'c."	"'I make my will with/in a sound mind.'"	"TMZ"
"485"	"B-ìe'ny=a' gaan to'ohby rràady loh rrie'f."	"PERF-do=1SG winning one radio in raffle"	"'We won a radio in / through the raffle'"	"TMZ"
"486"	"B-ìe'ny=a"	""	"'   gaan       to'"	""
"487"	"Rbèez=a' Sann Lu'uc."	"reside_in=1SG San Lucas"	"'I live in San Lucas'"	"SLQZ"
"489"	"<< Bèe'ecw zòob ni'ih me'es.>> dog NEU.sit_ AT foot table 'The dog is sitting by the foot of the table' However,"	"with the syntactic reanalysis of the possessed nouns as prepositions, perhaps partially on analogy with non-component part prepositions such as xtèe'n"	"'of'"	""
"490"	"Bèe'ecw zòob ni'ih me'es."	"dog NEU.sit under table."	"'The dog is sitting under the table'"	"TMZ"
"491"	"Aai'pa' pakna'-at homma."	"table top-NOM be_red"	"'The top of the table is red'"	"C"
"492"	"Kowi'-at aai'pa' pakna' o-wáyya'a."	"cat-NOM table top on-stand2"	"'The cat is on the table'"	"C"
"493"	"Aai'pa' nota'-at litiha."	"table underside-NOM be_dirty"	"'The underside of the table is dirty'"	"C"
"494"	"Kowi'-at aai'pa' nota' wáyya'a."	"cat-NOM table underside stand"	"'The cat is under the table'"	"C"
"495"	"Cholhkan-at aai'pa' nota' aa-áa."	"spider-NOM table underside LOC-go_around"	"'The spider is walking around under the table'"	"C"
"496"	"Cay-ùu'll=nàa'."	"PROG-sing=3DST"	"'He is singing'"	"TMZ"
"497"	"Cay-ùu'll=nàa' làa'any yu'uh."	"PROG-sing=3DST in house"	"'He is singing in the house'"	"TMZ"
"498"	"Bèe'cw zùub ni'ih me'es."	"dog NEU.sit under table"	"'The dog is sitting under the table'"	"SLQZ"
"499"	"Bèe'ecw zuu loh gyizhi'iilly."	"dog NEU.stand on chair"	"'The dog is standing on the chair'"	"TMZ"
"500"	"B-dìi'by=a' tyo'p loh me'es."	"PERF-wash=1SG two face table"	"'I washed two tabletops'"	"TMZ"
"501"	"B-dìi'by=a' loh ncye'ts me'es."	"PERF-wash=1SG face white table"	"'I washed the white tabletop (lit. the white face of the table)'"	"TMZ"
"502"	"Cholhkan-at áa. licenses the presence of location"	"aai'pa' 'table'. Note that the location aai'pa'"	"'table'"	"C"
"503"	"Cholhkan-at aai'pa' on-áa."	"spider-NOM table on-go_around"	"'The spider is walking around on the table'"	"C"
"504"	"Cholhkan-at aai'pa' pakna' on-áa."	"spider-NOM table top on-go_around"	"'The spider is walking around on (the) top of the table'"	"C"
"505"	"Ihoo-at Albertsons-a"	"bala' aa-chompa."	"'The woman buys beans at Albertsons'"	"C"
"507"	"Hattak-at bínni'li."	"man-NOM be_sitting_sg"	"'The man is sitting (there)'"	"C"
"508"	"Hattak-at abooha anonka' bínni'li."	"man-NOM house inside be_sitting_sg"	"'The man is sitting in the house'"	"C"
"509"	"Hattak-at abooha bínni'li."	"man-NOM house be_sitting_sg"	"'The man is sitting at the house'"	"C"
"510"	"Ofi'-at aai'pa' yamm-ako nota' tí'wa."	"dog-NOM table that-CONTR underside be_lying"	"'The dog is lying under that table'"	"C"
"513"	"Ihoo-at Albertsons-a"	"bala' aa-chompa."	"'The woman buys beans at Albertsons'"	"C"
"514"	"Loh me'es me'eu."	"face table dirty"	"'The tabletop is dirty'"	"TMZ"
"515"	"Bèe'ecw zuu loh me'es. we see that the"	"tabletop can be referred to as loh me'es"	"'tabletop'"	"TMZ"
"516"	"Loh me'es me'eu."	"face table dirty"	"'The tabletop is dirty'"	"TMZ"
"517"	"Kowi'-at box pakna' o-wáyya'a."	"cat-NOM box top on-stand"	"'The cat is on the box'"	"C"
"519"	"Kowi'-at box pakna' o-wáyya'a."	"cat-NOM box top on-stand"	"'The cat is on the box'"	"C"
"520"	"Box pakn-aat"	"litiha. of"	"',6 we can see that in fact the relational noun pakna'"	"C"
"521"	"i.e. there is no component part of the basket that can be named pakna' 'top'. So pakna' cannot be functioning by naming a part of the Ground, since"	"there is no part of this Ground cannot describe Figure 12, because the Figure is not under the Ground, even though the Figure is located at the basket"	"'s nota'"	"T"
"522"	"Kowi'-at talhpak pakna' o-wáyya'a."	"cat-NOM basket top on-stand"	"'The cat is on the basket'"	"C"
"523"	"Talhpak nota'-at litiha."	"basket underside-NOM be_dirty"	"'The underside of the basket is dirty'"	"C"
"524"	"Positional Verbs This chapter presents the system of positional"	"verbs employed in Tlacolula Valley Zapotec , and niga'ah"	"'is lying'"	"TVZ"
"525"	"Ba's zuu loh me'es."	"cup NEU.stand on table"	"'The cup is (standing) on the table'"	"TMZ"
"526"	"Mnnààa' zòob loh guezhi'iilly."	"woman NEU.sit on chair"	"'The woman is (sitting) on the chair'"	"TMZ"
"527"	"Mnìi'iny n-iga'ah loh ca'mm."	"child NEU-lie on bed"	"'The child is (lying) on the bed'"	"TMZ"
"528"	"Cu'an bèe'ecw?"	"Where dog"	"'Where is the dog?'"	"TMZ"
"529"	"Loh me'es."	"on table"	"'On the table'"	"TMZ"
"531"	"Zùub zhye'et loh me'es."	"NEU.sit cat on table"	"'The cat is sitting on the table'"	"SLQZ"
"532"	"Zuu zhye'et loh me'es."	"NEU.stand cat on table"	"'The cat is standing on the table'"	"SLQZ"
"534"	"Ba's zùu'b loh me'es."	"cup NEU.sit on table"	"'The cup is on the table'"	"TMZ"
"535"	"Bote'iy zuu guë'ëhcy gyihah."	"bottle NEU.stand on rock"	"'The bottle is on the rock'"	"TMZ"
"536"	"Bote'iy zuu loh me'es."	"bottle NEU.stand on table"	"'The bottle is on the table'"	"TMZ"
"537"	"Bote'iy n-iga'ah loh gyihah."	"bottle NEU-lie on rock"	"'The bottle is on the rock'"	"TMZ"
"538"	"Zë'ty bë'ëhdy zuu loh yuhuh. below. It seems that if a box in the shape of a"	"perfect cube, i.e. without a longer vertical than horizontal axis, is on a table, the verb zuu"	"'is standing'"	"TMZ"
"540"	"Bote'i zuu"	"làa'any zhìi"	"'mmy. (SLQZ; 5:20) bottle      NEU.stand       in          basket The bottle is (standing) in the basket'"	""
"541"	"alanij toby=ga tomines r-oni=ja gona lao too-tobi=ga beecoogo item one=each tomines HAB-do=1SG offering"	"face one-one=each altar nij na-so=nij lani yochotoo gueche REL NEU-stand=3 stomach church town"	"'Also I make an offering of one real to each altar which is (standing) in the town church'"	"CVZ"
"542"	"huane poerta na-co roa yohio , which"	"are identified as neutral forms of ràa'tga"	"'ah \"lies down, gets into a lying position\" (Munro and Lopez, et al. 1999:219). For simplicity, I will use the form niga'"	"CVZ"
"543"	"Dùùu' n-iga'ah loh gyihah."	"rope NEU-lie on rock"	"'The rope is (lying) on the rock'"	"TMZ"
"544"	"Baloon n-iga'ah loh yuhuh."	"ball NEU-lie on dirt"	"'The ball is on the ground'"	"TMZ"
"545"	"Bote'iy n-iga'ah loh gyihah."	"bottle NEU-lie on rock"	"'The bottle is (lying) on the rock'"	"TMZ"
"546"	"Da bote'iy n-iga'ah loh me'es."	"PL bottle NEU-lie on table"	"'The bottles are on the table'"	"TMZ"
"548"	"Gyahg dêêi'dy loh zhìi'mmy."	"stick NEU.go_across on basket"	"'The stick is on the basket (positioned across it)'"	"TMZ"
"549"	"Gyahg dèèi'dy ru'uh zhìi'mmy."	"stick NEU.go_across at_edge_of basket"	"'The stick is on the basket (positioned across it)'"	"SLQZ"
"550"	"Dùùu' dêêi'dy loh zhìi'mmy."	"rope NEU.go_across on basket"	"'The rope is on the basket (positioned across it)'"	"TMZ"
"551"	"Dùùu' dèèi'dy ru'uh zhìi'mmy."	"rope NEU.go_across at_edge_of basket"	"'The rope is on the basket (positioned across it)'"	"SLQZ"
"552"	"Lahdy dêêi'dy loh zhìi'mmy."	"cloth NEU.go_across on basket"	"'The cloth is on the basket (positioned across it)'"	"TMZ"
"553"	"Lahdy dèèi'dy ru'uh zhìi'mmy. The pictures"	"above could be described with dêêi"	"'dy by every TVZ speaker consulted so far. However, there are other configurations where the felicity of the use of dêêi'"	"SLQZ"
"554"	"Bote'iy dêêi'dy làa'any zhìi'mmy."	"bottle NEU.go_across in basket"	"'The bottle is in the basket (positioned across it)'"	"TMZ"
"555"	"Bote'iy dêêi'dy loh gyihah."	"bottle NEU.go_across on rock"	"'The bottle is on the rock (positioned across it)'"	"TMZ"
"557"	"Gyahg dêêi'dy loh me'es."	"stick NEU.go_across on table"	"'The stick is on the table (positioned across it)'"	"TMZ"
"558"	"Gyahg dèèi'dy loh me'es."	"stick NEU.go_across on table"	"'The stick is on the table (positioned across it)'"	"SLQZ"
"560"	"Da baloon cuhnn da pelo't rii loh me'es."	"PL large_ball with PL sm.ball HAB.are_around on table"	"'The balls are on the table'"	"TMZ"
"561"	"Nnyi'ihs rii loh yuhuh."	"water HAB.are_around on ground"	"'Water is on the ground'"	"TMZ"
"562"	"Bzìàah rii loh yuhuh."	"bean HAB.are_around on dirt"	"'The beans are on the ground'"	"TMZ"
"563"	"Da bote'iy rii loh me'es."	"PL bottle HAB.are_around on table"	"'The bottles are on the table'"	"TMZ"
"564"	"Ndèe' nàa to'ohby"	"istoory x:tèe' to"	"'ohby      mìi'"	""
"565"	"nih w-ni'ihty"	"zh:àa'at x:tèe"	"'n=nìi'"	""
"566"	"zuu"	"guë"	"'ëhcy       to'"	""
"567"	"ca-bëhzha"	""	"'=nìi'"	""
"568"	"\"Zh:àa'at,"	"cu'un=ùu"	"',        zh:àa'"	""
"569"	"To'ohby zhihih mìi'iny"	"ca-gyi'eht-nèe zh:àa'at x:tèe"	"'n=nìi'"	""
"570"	"b-lùu'=nìi'i làa'any"	"to'ohby bo"	"'t    nnyi'"	""
"571"	"Chi'c bèe'ecw"	"ca-lùu'uh x:-tro"	"'omp=nìi'"	""
"573"	"Pehr chih=nìi'"	"w-ta'ihsy mìi"	"'iny, but   when=NÌI'"	""
"577"	"raa"	"làa"	"'any    x:ahb=nìi'"	""
"581"	"B-lèe bèe'ecw"	"guë'ëhcy=nìi' ru"	"'uh            venta'"	""
"582"	"N-u'uh guë'ëhcy bèe'ecw"	"làa'any bo't bi"	"'edr. NEU-be     head       dog         in            jar          glass The dog'"	""
"583"	"Chi'c=ru' b-iahahb"	"bèe'ecw a"	"'sta'"	""
"584"	"Chi'c"	"b-rììa"	"'         mìi'"	""
"588"	"du'unn càa"	"nehz r-i-càa"	"'         zh:àa'"	""
"589"	"cantidaa=za"	""	"' dyee'"	""
"590"	"Chih=ru' gw-eheh"	"mìi'iny a'sta"	"' gaht                 zòob             to'"	""
"592"	"Ri'cy"	"ca-dìi"	"'lly          mìi'"	""
"593"	"du'unn càa nehz"	"z-èe zh:àa'at làa"	"'any         guêêë'"	""
"594"	"Per làa'any"	"guêêë'dy=qui b-rììa"	"'                to'"	""
"596"	"Chi'c bèe'ecw"	"ca-du'uhx ca-gwi"	"' ih     loh              to'"	""
"597"	"Duur"	"r-du"	"'uhx        bèe'"	""
"598"	"Chi'c"	"b-rììa"	"'         cantidaad dyee'"	""
"599"	"Z-èe dyee'p yaàa'"	"sanàall làa' bèe"	"'ecw. DEF-go    wasp      up         DEF.follow            LÀA'"	""
"601"	"b-rììa'"	"to"	"'ohby         da'"	""
"603"	"Chi"	""	"'c b-iahahb         mìi'"	""
"604"	"Chi'c"	"b-ni"	"'ìi'"	""
"606"	"Chi"	""	"'c mìi'"	""
"607"	"Chi"	""	"'c b-zuh       da'"	""
"608"	"Chi'c b-yèe'py"	"mìi'iny guë"	"'ëhcy     to'"	""
"609"	"Bèe'ecw"	"n-iga"	"'ah         cwe'"	""
"610"	"Per chih=nìi' b-yèe'py"	"mìi'iny guë'ëhcy to"	"'ohby    gyiah, but    when=NÌI'"	""
"612"	"Chi"	""	"'c b-zh:êë'"	""
"614"	"Chi'c bèe'ecw"	"ca-du'uhx ca-gwi"	"' ih loh     mìi'"	""
"621"	"B-zêë'b mìi'iny"	"bèe'ecw zh:a'-zhi"	"'i=nìi'"	""
"624"	"\"Bxxx!"	"Zhigah=nìi"	"'!\" shhh      quietly=NÌI'"	""
"626"	"Chi'c=ru'"	"w-èe"	"'py         mìi'"	""
"627"	"Tru'unnc z-àa-nèe làa'"	"mìi'iny cuhnn bèe"	"'ecw log        DEF-go-with LÀA'"	""
"632"	"Chi'c=ru'"	"b-ìe"	"'d          mìi'"	""
"633"	"Wacàa' mìi'iny"	"to'ohby zh:àa"	"'at     bichi'"	""
"634"	"z-àa-nèe"	"mìi"	"'iny    cuhnn      bèe'"	""
