"Zap"	"Gloss"	"Trans"	"Lang"
"335"	"Zye:einy-ru’ liebr b-zi:i:i’ Rrodriiegw"	"cah nih b-to:o’ Lieeb."	"‘Rodrigo bought more books than Felipe sold’"	""
"336"	"Zyuu:a’lly-ru’ Rrodriiegw loh Liieb."	"tall-ER Rodrigo face Felipe"	"‘Rodrigo is taller than Felipe’"	""
"337"	"Maaz-ta’ ga:a’v liebr b-zi:i:i ’ Rrodriiegw. MAAZ-than five book perf-buy Rodrigo"	""	"‘Rodrigo bought more than five books’"	""
"338"	"Juan compr6 su propi-a copiade Dracula antes que Maria 1-a Juan buy.pret.3sg his own-f copy of Dracula before that Marfa the-f suy-a. her-f"	""	"‘Juan bought his own copy of Dracula before Maria hers’"	""
"339"	"Juan bes6 a Marfa antes que ella a el."	"Juan kiss.pret.3sg p.a Marfa before that 3sg.f.nom p.a 3sg.m.obl"	"‘Juan kissed Marfa before she him’"	""
"340"	"Juan bes6 a Maria despuds que ella a el."	"Juan kiss.pret.3sg p.a Maria after that 3sg.f.nom p.a 3sg.m.obl"	"‘Juan kissed Marfa after she him’"	""
"341"	"Juan perdid su cartera despues que Marfa 1-a suy-a"	"Juan lost 3poss wallet after that Maria the-f 3poss-f"	"‘Juan lost his wallet after Marfa hers’"	""
"342"	"Juan apagd su cigarro envezde Maria Juan putout.pret.3sg 3poss"	"cigarette in time of Maria el suy-o. the.m 3poss-m"	"‘Juan put out his cigarette instead of Maria hers’"	""
"343"	"Juan vio a Pedro, y vio a Susana tambidn.—>"	"Juan see.pret.3sg p.a Pedro and see.pret.3sg p.a Susana also"	"‘Juan saw Pedro, and he saw Susana, too’"	""
"344"	"Juan vio a Pedro, pero no vio a Susana.—>"	"Juan see.pret.3sg p.a Pedro but not see.pret.3sg p.a Susana"	"‘Juan saw Pedro, but he didn’"	""
"345"	"Juan no vio a Pedro, ni vio a Susana tampoco.—>"	"Juan not see.pret.3sg p.a Pedro nor see.pret.3sg p.a Susana either"	"‘Juan didn’"	""
"346"	"O Juan vio a Pedro, o Susana lo vio.—>"	"or Juan see.pret.3sg p.a Pedro or Susana 3sg.m.acc see.pret.3sg"	"‘Either Juan saw Pedro, or Susana saw him’"	""
"347"	"Juanse fue antes que Marfa se fuera.—» Juan refl go.pret.3sg before that Marfa refl go.imp.subj.3sg"	""	"‘Juan left before Marfa before’"	""
"348"	"Juanse fue despues que Maria se fue.—> Juan refl go.pret.3sg after that Marfa refl go.pret.3sg"	""	"‘Juan left after Marfa left’"	""
"349"	"Juan comid mds de cinco hamburguesas."	"Juan eat.pret.3sg ER.MUCH.f.pl of five hamburgers"	"‘Juan ate more than five hamburgers’"	""
"350"	"Juan corrib mds de diez kildmetros. Juan run.pret.3sgER.MUCH.rn.pl of ten kilometers"	""	"‘Juan ran more than ten kilometers’"	""
"351"	"Juan comid mds hamburguesas de 1-o-s que Juan eat.pret.3sg ER.MUCH.f.pl hamburgers of"	"the-m-pl that dijo que iba a comer. say.pret.3sg that go.imp.3sg to eatinf"	"‘Juan ate more hamburgers than he said he was going to eat’"	""
"352"	"Jos6 compr6 mds libros de lo que piensas."	"Jos6 buy.pret.3g ER.MUCH.rn.pl books of the that think.2sg"	"‘Jos6 bought more books than you think’"	""
"353"	"Miguel perdi6 mds dinero Miguel lose.pret.3sg ER.MUCH.m money delj que encontr6 tj. of.the.MUCH.m that find.pret.3sg"	""	"‘Miguel lost more money than he found’"	""
"354"	"Josefina tom6 mds leche de Josefina take.pret.3sg ER.MUCH.f milk of l-[]-aj que me regald a mf tj. the-MUCH-f that lsg.dat give.pret.3sg to lsg.obl"	""	"‘Josefina drank more milk than she gave me’"	""
"355"	"Heriberto compr6 mds libros de Heriberto buy.3sg.pret ER.MUCH.rn.pl books"	"of l-[ ]-o-Sj que vendid tj. the-MUCH-m-pl that sell.pret3sg"	"‘Heriberto bought more books than he sold’"	""
"356"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de"	"l-[ ]-a-sj que pidi6 tj self-m of the-MUCH-f-pl that ask.for.pret.3sg para nosotros. for lpl.obl"	"‘Tomds got more pens for himself than he requested for us’"	""
"357"	"Poncho es mds inteligente de lo []j38 que es Poncho be.3sg ER intelligent of the.n (intelligent) that be.3sg su hermana tj. his sister"	""	"‘Poncho is more intelligent than his sister is’"	""
"358"	"Poncho quiere mds a su hermana de lo []j que Poncho love.3sg ER.MUCH p.a his sister of the.n MUCH39 that odia a su cunado. hate.3sgp.a his brother.in.law"	""	"‘Poncho loves his sister more than he hates his brother-in-law’"	""
"359"	"Daniel es el nin-o que conociste ayer."	"Daniel be.3sg the.m child-m that met.pret.2sg yesterday"	"‘Daniel is the child that you met yesterday’"	""
"360"	"No me puedo creer lo [] que Daniel not"	"refl be.able.lsg believe.inf the.n MUCH42 that Daniel nadd. swim.pret.3sg"	"‘I can’"	""
"361"	"No me puedo creer l-[ ]-o-s libros not refl be.able.lsg believe.inf the-MUCH-m-pI books que comprd Elisabeta. that buy.pret.3sg Elisabeta"	""	"‘I can’"	""
"362"	"No me puedo creer lo guap-o-s que son not refl be.able.lsg"	"believe.inf the-n handsome-m-pl that be.3pl 1-o-s hermanos Gdmez. the-m-pl brothers Gdmez"	"‘I can’"	""
"363"	"No me puedo creer lo nin-o que es Pedro. not refl be.able.lsg believe.inf the-n child-m thatbe.3sg Pedro"	""	"‘I can’"	""
"364"	"Daniel puede nadar mds de [g que Jesus Daniel be.able.3sg swim.inf ER.MUCH of that Jesus puede nadar [q p lo ]] be.able.3sg the.n"	""	"‘Daniel can swim more than Jesus can swim’"	""
"365"	"Elisabeta comprd mds libros de Elisabeta buy.pret.3sg ER.MUCH.rn.pl books of l-[ ]-o-s que td vendiste. the-MUCH-m-pl that 2sg.nom sell.pret.2sg"	""	"‘Elisabeth bought more books than you sold’"	""
"366"	"L-o-s hermanos Gdmez son mds guap-o-s ahorade the-m-pl brothers Gdmez be.3pl ER handsome-m-pl now of lo [] que eran antes, the.n (handsome) that be.imp.3pl before"	""	"‘The Gdmez brothers are more handsome now than they were before’"	""
"367"	"Pedro es mds nin-o de lo [] que era Pedro be.3sg ER child-m"	"of the-n childish that be.imp.lsg yo a su edad. lsg.nom to his age"	"‘Pedro is more childish than I was at his age’"	""
"368"	"Miguel perdi6 mds dinero Miguel lose.pret.3sg ER.MUCH.m money delj que encontro tj. of.the.MUCH.m that find.pret.3sg"	""	"‘Miguel lost more money than he found’"	""
"369"	"Josefina tom6 mds leche de Josefina take.pret.3sg ER.MUCH.f milk of l-[]-aj que me regal6 a mf tj. the-MUCH-f that lsg.dat give.pret.3sg to lsg.obl"	""	"‘Josefina drank more milk than she gave me’"	""
"370"	"Heriberto comprd mds libros de Heriberto buy.3sg.pret ER.MUCH.rn.pl books of l-[]-o-Sj que vendid tj. the-MUCH-m-pl that sell.pret.3sg"	""	"‘Heriberto bought more books than he sold’"	""
"371"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de"	"l-[ ]-a-sj que pidid tj self-m of the-MUCH-f-pl that ask.for.pret.3sg para nosotros. for lpl.obl"	"‘Tomds got more pens for himself than he requested for us’"	""
"372"	"Poncho es mds inteligente de lo []j que es Poncho be.3sg ER intelligent of the-n (intelligent) that be.3sg su hermana tj. 3poss sister"	""	"‘Poncho is more intelligent than his sister is’"	""
"373"	"Poncho quiere mds a su hermana de lo [)j Poncho love.3sg ER.MUCH p.a his"	"sister of the.n MUCH que odia tj a su cunado. thathate.3sg p.a 3poss brother.in.law"	"‘Poncho loves his sister more than he hates his brother-in-law’"	""
"374"	"No me puedo creer el dinero que not refl"	"be.able.lsg believe.inf the.MUCH.m money that perdid Miguel. lose.pret.3sg Mike"	"‘I can’"	""
"375"	"No me puedo creer l-[]-a leche que Josefina not refl be.able. lsg believe.inf the-MUCH-f milk that Josefina tom6. take.pret.3sg"	""	"‘I can’"	""
"376"	"No me puedo creer l-[]-o-s libros que not refl be.able. lsg believe.inf the-MUCH-m-pl books that Heriberto comprd. Heriberto buy.pret.3sg"	""	"‘I can’"	""
"377"	"No me puedo creer l-[]-a-s plumas que Tomds not"	"refl be.able.lsg believe.inf the.MUCH.f.pl pens that Tomds consigui6. get.pret.3sg"	"‘I can’"	""
"378"	"Daniel puede nadar mds de [j)egp lo tcp [DegP [QP MUCH]"	"j 0 tj ] j que Jesus puede nadar tj ]]"	"‘Daniel can swim more than Jesus can swim’"	""
"379"	"Josd comprd mds libros de lo que piensas [e], Josd buy.pret.3g ER.MUCH.rn.pl books of the that think.2sg"	""	"‘Josd bought more books than you think’"	""
"380"	"Jos6 compid mds libros de l-[ )-o-s que Jose buy.pret.3g ER.MUCH.rn.pl books of the-MUCH-m-pl that piensas. think.2sg"	""	"‘Josd bought more books than you think’"	""
"381"	"Tengo miedode lo que podrfa pasar. have,"	"lsg fear of the.n that be.able.cond.3sg50 happen.inf"	"‘I’"	""
"382"	"Tod-o lo que sucede aquf fuera de nuestr-a casa all-m the.n that happen.3sg here outside of our-f house me asusta"	"mds que lo que se lsg.dat scare.3sg ER.MUCH that the.n that refl ve en 1-a televisidn. see.3sg in the-f television"	"‘Everything that happens here outside of our house scares me more what one sees on TV’"	""
"383"	"Tod-o lo que sucede aquf fuera de nuestr-a casa all-m the.n that happen.3sg here outside of our-f house me asusta"	"mds que aquello que se lsg.dat scare.3sg ER.MUCH that thatn that refl ve en 1-a televisidn. see.3sg in the-f television"	"‘Everything that happens here outside of our house scares me more what one sees on TV’"	""
"384"	"Este libro es mds interesante que el que me this.m"	"book be.3sg ER interesting that the.m that lsg.dat recomendaste. recommend.pret.2sg"	"‘This book is more interesting than the one that you recommended to me’"	""
"385"	"Choice of comparative particle in lo que comparatives"	"Spanish (a) que, if lo determines reference, i.e.,"	"‘that’"	""
"386"	"Est-a-s revistas son mds interesante-s que est-o-s libros."	"this-f-pl magazines be.3pl ER interesting-pl that this-m-pl books"	"‘These magazines are more interesting than these books’"	""
"387"	"Miguel perdid mds dinero de lo que Miguel lose.pret.3sg ER.MUCH.m money"	"of the.n that encontrd [] de oro find.pret.3sg MUCH of gold"	"‘Miguel lost more money than he found gold’"	""
"388"	"Josefina tomd mds leche de lo que Josefina take.pret.3sg ER.MUCH.f milk of them that me regald a mf [ ] de agua lsg.dat give.pret.3sg to lsg.obl MUCH of water"	""	"‘Josefina drank more milk than she gave me water’"	""
"389"	"Heriberto comprd mds libros de lo Heriberto buy.3sg.pret ER.MUCH.rn.pl books of the.n"	"272 que vendid [ ] de revistas that sell.pret.3sg MUCH of magazines"	"‘Heriberto bought more books than he sold magazines’"	""
"390"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de lo que"	"pidi6 [] self-m of them that ask.for.pret.3sg MUCH de ldpices para nosotros. of pencils for lpl.obl"	"‘Tomds got more pens for himself than he requested pencils for us’"	""
"391"	"Poncho es mds guapo de lo que es inteligente."	"Poncho be.3sg ER handsome of the.n that be.3sg intelligent"	"‘Poncho is more handsome than he is intelligent’"	""
"392"	"^Cudnto quieres a Juan ? how.MUCH want.2sg p.a Juan"	""	"‘How much do you love Juan ?’"	""
"393"	"j Cudnto quieres a Juan! how.MUCH want.2sg p.a Juan"	""	"‘You love Juan so much !’"	""
"394"	"Puedes comer cuanto quieras."	"be.able.2sg eat.inf how.MUCH want.subj.2sg"	"‘You can eat however much you want’"	""
"395"	"Jose comprd mds libros de cuanto piensas"	"[e]. Josdbuy.pret.3sg ER.MUCH.rn.pl books of how.n think.2sg"	"‘Jose bought more books than you think’"	""
"396"	"Miguel perdid mds dinero de cuant-[ ]-oj Miguel"	"lose.pret.3sg ER.MUCH.m money of how-MUCH-m find.pret.3sg encontr6 tj."	"‘Miguel lost more money than he found’"	""
"397"	"Josefina tom6 mds leche de cuant-[]-aj Josefina take.pret.3sg ER.MUCH.f milk of"	"how-MUCH-f me regal 6 a mi tj. lsg.dat give.pret.3sg to lsg.obl"	"‘Josefina drank more milk than she gave me’"	""
"398"	"Heriberto compr6 mds libros de Heriberto buy.3sg.pret ER.MUCH.rn.pl"	"books of cuant-[ ]-o-sj vendi6 tj. how-MUCH-m-pl sell.pret.3sg"	"‘Heriberto bought more books than he sold’"	""
"399"	"Tomds consigui6 mds plumas para el Tomds get.pret.3sg ER.MUCH.f.pl pens for 3sg.obl mism-o de cuant-[]-a-Sj pidid tj self-m of how-MUCH-f-pI ask.for.pret.3sg para nosotros. for lpl.obl"	""	"‘Tomds got more pens for himself than he requested for us’"	""
"400"	"Jos6 comprd mds [de tres] libros."	"Jos6 buy.pret.3sg ER.MUCH.rn.pl of three books"	"‘Jose bought more than three books’"	""
"401"	"Elisa corrid mds [dediez millas], Elisa run.pret.3sg ER.MUCH.f.pl of ten miles"	""	"‘Elisa ran more than ten miles’"	""
"402"	"Pedro estd cansad-o de est-a clase."	"Pedro be.3sg tired-m of this-f class"	"‘Pedro is tired of this class’"	""
"403"	"Pedro sali6 de 1-a casa."	"Pedro go.out.pret.3sg of the-f house"	"‘Pedro went out of the house’"	""
"404"	"HIXKARYANA: Kaw-ohra naha Waraka, kaw naha Kaywerye tall-not he-is W. tall he-is K."	""	"‘Kaywerye is taller than Waraka’"	""
"405"	"Juan comprd mds libros de I-[]-o-s Juan buy.pret.3sg"	"ER.MUCH.rn.pl books of the-MUCH-m-pl que vendid. that sell.pret.3sg"	"‘Juan bought more books than he sold’"	""
"406"	"Juan comprd mds de cinco libros."	"Juan buy.pret.3sg ER.MUCH.rn.pl of five books"	"‘Juan bought more than five books’"	""
"407"	"Juan comprd mds libros que yo."	"Juan buy.pret.3sg ER.MUCH.rn.pl books that lsg.nom"	"‘Juan bought more books than I did’"	""
"408"	"Juan comid un-a pizza en su casa."	"Juan eat.pret.3sg a-f pizza in his house"	"‘Juan ate a pizza in his house’"	""
"409"	"Juan comprd mds libros que Marfa discos."	"Juan buy.pret.3sg ER.MUCH.rn.pl books that Marfa records"	"‘Juan bought more books than Marfa did records’"	""
"410"	"Ni comprd Juan libros, ni comprd Marfa discos,"	"nor buy.pret.3sg Juan books nor buy.pret.3sg Marfa records"	"‘Neither Juan bought books, nor did Maria buy records’"	""
"411"	"Y comprd Juan libros, y comprdMarfa discos, and buy.pret.3sg Juan books and buy.pret.3sg Maria records"	""	"‘Both Juan bought books and Marfa bought records’"	""
"412"	"?Y comprd Juan libros."	"and buy.pret.3sg Juan books"	"‘And Juan bought books’"	""
"413"	"Juan les dijo a mds personas [que iba Juan3pl.dat say.pret.3sg to ER.MUCH.f.pl persons that go.imp.3sg a haber69 un-a fiesta] que yo. to have.inf a-f party that lsg.nom"	""	"‘Juan told more people that there was going to be a party than I did’"	""
"414"	"Josd piensa que yo soy mds alt-o de lo Josd think.3sg that lsg.nom"	"be.lsg ER tall-m of the.n que soy de verdad. that be.lsg of truth"	"‘Jos6 thinks that I am taller than I really am’"	""
"415"	"Juan no comid, ni comid Marfa"	"Juan not eat.pret.3sg nor eat.pret.3sg Marfa"	"‘Juan didn’"	""
"416"	"Felipe lav6 mds coches que camionetas Felipe wash.pret.3sg"	"MUCH.m.pl.ER cars that pick.up.trucks lav<5 Rodrigo. wash.pret.3sg Rodrigo"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"417"	"Felipe lav6 mds coches que Rodrigo Felipe wash.pret.3sg"	"MUCH.m.pI.ER cars that Rodrigo lav6 camionetas. wash.pret.3sg pick-up.trucks"	"‘Felipe washed more cars than Rodrigo washed pick-up trucks’"	""
"418"	"Juan compr6 mds manzanas de l-[]-a-s Juan buy.pret.3sg ER.MUCH.f.pl"	"apples of the-MUCH-f-pl que tu vendiste. that 2sg.nom sell.pret.2sg"	"‘Juan bought more apples than you sold’"	""
"419"	"Juan comid mds manzanas que tu peras.76"	"Juan eat.pret.3sg ER.MUCH.f.pl apples that 2sg.nom pears"	"‘Juan ate more apples than you, pears’"	""
"420"	"Juan comid mds manzanas que tti"	"Juan eat.pret.3sg ER.MUCH.f.pl apples that 2sg.nom"	"‘Juan ate more apples than you’"	""
"421"	"Juan comid mds manzanas que tu."	"Juan eat.pret.3sg ER.MUCH.f.pl apples that 2sg.nom"	"‘Juan ate more apples than you’"	""
"422"	"Juan comprd mds manzanas de l-[ ]-a-s que Juan buy.pret.3sg ER.MUCH.f.pl apples of the-MUCH-f-pl that me dijiste [que P edro vendio [e]]. lsg.dat say.pret.2sg that Pedro sell.pret.3sg"	""	"‘Juan bought more apples than you told me that Pedro sold’"	""
"423"	"Estuve con mds amigos en Roma que en Pans."	"be.pret.lsg with ER.MUCH.rn.pl friends in Rome that in Paris"	"‘I was with more friends in Rome than in Paris’"	""
"424"	"Mds chicos vieron films de Chaplin que de Keaton."	"ER.MUCH.rn.pl guys see.pret.3pl films of Chaplin that of Keaton"	"‘More guys saw films of Chaplin’"	""
"425"	"Josd comprd mds libros que Fernando."	"Josd buy.pret.3sg ER.MUCH.rn.pl books that Fernando"	"‘Jose bought more books than Fernando’"	""
"426"	"Josd compn5 mds libros de l-[ ]-o-s que Jose"	"buy.pret.3sg ER.MUCH.rn.plbooks of the-MUCH-m-pl that compr6 Fernando. buy.pret.3sg Fernando"	"‘Jose bought more books than Fernando bought’"	""
"427"	"Apeqsek tata’hkesew, nenah teh kan."	"more he-is-strong I and not"	"‘He is stronger than me’"	""
"428"	"Luu caa nuu yaha, nasuu nuu ndijnu"	"good very people this, not people Tlaxiaco"	"‘This people is better than the Tlaxiaco people’"	""
"429"	"Ina na namo herea, una na dia namo"	"this is good more that is not good"	"‘This is better than that’"	""
"430"	"Nato aibo hakun, wuitsa kiskaribi"	"this woman beautiful others not-be-so"	"‘This woman is more beautiful than others’"	""
"431"	"Kmtu -v -c mine: rav-a kmtuqwath-c watermelon-DEM-SUBJ tasty very-TNS , canteloupe-SUBJ ke mine: rav-a om-i not tasty very-TNS not-TNS"	""	"‘Watermelons are tastier than canteloupes’"	""
"432"	"Gonzalo pasa mds tiempo en 1-a biblioteca que Gonzalo pass.3sg ER.MUCH.m time"	"in the-f library that Fernando en el gimnasio. Fernando in the.m gym"	"‘Gonzalo spends more time in the library than Fernando (does) in the gym’"	""
"433"	"Gonzalo pasa 1-o-s sdbados en 1-a biblioteca, y Femandoj Gonzalo spend3sg the-m-pl Saturdays in the-f library"	"and Fernando [en el gimnasio]j, tj pass I=o-s g&toados tj. in the.m gym pass.3sg the-m-pl Saturdays"	"‘Gonzalo spends Saturdays in the library, and Fernando in the gym’"	""
"434"	"Pedro tiene mds dinero que Fernando."	"Pedro have.3sg ER.MUCH.m money that Fernando"	"‘Pedro has more money than Fernando’"	""
"435"	"Mannen bewonderen deze film (,) en vrouwen. men admire this movie and women"	""	"‘Men admire this movie, and women (do, too)’"	""
"436"	"Pedro tiene much-[ ]-o dinero y Fernando tambien. Pedro have.3sg very-MUCH-m money and Fernando also"	""	"‘Pedro has a lot of money, and Fernando, too’"	""
"437"	"Pedro no tiene much-[]-o dinero v Fernando tampoco."	"Pedro not have.3sg very-MUCH-m money and Fernando either"	"‘Pedro doesn’"	""
"438"	"Pedro tiene much-[]-o dinero pero Fernando no."	"Pedro have.3sg very-MUCH-m money but Fernando not"	"‘Pedro has a lot of money, but not Fernando’"	""
"439"	"Pedro no tiene much-[]-o dinero pero Fernando sf-"	"Pedro not have.3sg very-MUCH-m money but Fernando yes"	"‘Pedro doesn’"	""
"440"	"Pedro tiene tanto dinerocomo Fernando. Pedro have.3sg so.MUCH.m money like Fernando"	""	"‘Pedro has as much money as Fernando’"	""
"441"	"Pedro tiene tan poco dinero como Fernando."	"Pedro have.3sg so NEG.MUCH.m money like Fernando"	"‘Pedro has as little money as Fernando’"	""
"442"	"Pedro tiene mds dineroque Fernando. Pedro have.3sg ER.MUCH.m money that Fernando"	""	"‘Pedro has more money than Fernando’"	""
"443"	"Pedro tiene menos dinero que Fernando."	"Pedro have.3sg ER.NEG.MUCH.m money that Fernando"	"‘Pedro has less money than Fernando’"	""
"444"	"Pedro tiene mds dinero que no Fernando."	"Pedro have.3sg ER.MUCH.m money that no Fernando"	"‘Pedro has more money than Fernando’"	""
"445"	"Pedro tiene menos dinero que no Fernando."	"Pedro have.3sg ER.NEG.MUCH.m money that no Fernando"	"‘Pedro has less money than Fernando’"	""
"446"	"Maaz-ta’ ga:a’y liebr b-zi:i:i’ Jwaany."	"MAAZ-than five book perf-buy Juan"	"‘Juan bought more than five books’"	""
"447"	"Maaz-ta’ te’ihby mii b-zh:u:u’nny Jwaany."	"MAAZ-than one mile perf-run Juan"	"‘Juan ran more than one mile’"	""
"448"	"Zye:einy-ru’ liebr b-zi:i:i’ Jwaany cah nih b-to:o’ Liieb"	"MUCH.sol/abs-ER book perf-buy Juan than rel perf-sell Felipe"	"‘Juan bought more books than Felipe sold’"	""
"449"	"Zye:einy-ru’ liebr b-zi:i:i’"	"Jwaany cah Gyeeihlly."	"‘Juan bought more books than Mike’"	""
"450"	"Zyuu:a’ll-ru’ Jwaany {cah / loh} Gyeeihlly."	"tall-ER Juan than / face Mike"	"‘Juan is taller than Mike’"	""
"451"	"Juan tiene miedo de serpientes."	"Juan have.3sg fear of snakes"	"‘Juan is afraid of snakes’"	""
"452"	"Juan estd enamorad-o de Lucfa"	"Juan be.3sg in.love-m of Lucia"	"‘Juan is in live with Lucia’"	""
"453"	"B-cwa:a:a’ Jwaany pelo’t loh Rrodriiegw."	"perf-throw Juan ball face Rodrigo"	"‘Juan threw the ball to Rodrigo’"	""
"454"	"-»Tu loh b-cwa:a:a’ Jwaany pelo’t ? who face perf-throw Juan ball"	""	"‘Who did Juan throw the ball to ?’"	""
"455"	"-VTu b-cwa:a:a’ Jwaany pelo’t loh-ni’ ? who perf-throw Juan ball face-3sg.anaposs"	""	"‘Who did Juan throw the ball to ?’"	""
"456"	"Zyuu:a’ll-ru’ Jwaany loh Gveeihllv."	"tall-ER Juan face Mike"	"‘Juan is taller than Mike’"	""
"457"	"—»Tu loh zyuu:a’ll-ru’ Jwaany ? who face tall-ER Juan"	""	"‘Who is Juan taller than ?’"	""
"458"	"—»Tu zyuu:a’ll-ru’ Jwaany loh-ni’ ? who tall-ER Juan face-3sg.anaposs"	""	"‘Who is Juan taller than ?’"	""
"459"	"Rodolfo pasa menos tiempo con su mamd que Rodolfo spend.3sg ER.NEG.MUCH time"	"with 3poss mom that Trinidad con su-s hermanos. Trinidad with 3poss-pl brothers"	"‘Rodolfo spends less time with his mom than Trinidad (does) with his brothers’"	""
"460"	"Zyuu:a’ll Gyeeihlly."	"tall Mike"	"‘Mike is tali’"	""
"461"	"Zyereiny Iiebrb-zi:i:i’ Gyeeihlly."	"MUCH.sol/abs bookperf-buy Mike"	"‘Mike bought many books’"	""
"462"	"Zyuu:a’ll-ta’ Wsee."	"tall-too Jose"	"‘Jose is too tall’"	""
"463"	"Zye:einy-ta’ liebr b-zi:i:i’ Wsee."	"MUCH.sol/abs-too book perf-buy Jose"	"‘Josd bought too many books’"	""
"464"	"Zi:i’lly-ta’ nnyi’ihs gwe:e’eh Wsee."	"MUCKliq/gas-too water perf.drink Jos6"	"‘Josd drank too much water’"	""
"465"	"NA"	""	NA	""
"466"	"(IV-186) (Te’ihby)-ze’cy-dya’ liebr nih b-zi:i:i’ Liieb, b-zi:i:i’ one-thus-MUCH book rel perf-buy Felipe perf-buy Rodriiegw. Rodrigo"	""	"‘Rodrigo bought as many books as Felipe bought’"	""
"468"	"NA"	""	NA	""
